plant_code,lat,lon,State
1634,42.5914,-72.7308,MA
1637,42.157896,-72.48643,MA
1638,42.176047,-72.409521,MA
1693,44.561961,-83.804505,MI
1694,42.563803,-85.953976,MI
1698,44.259135,-85.939565,MI
1700,44.472624,-83.571947,MI
1701,43.437322,-85.664462,MI
1704,44.455518,-83.676274,MI
1705,44.435381,-83.440722,MI
1707,43.486618,-85.629866,MI
1708,44.36286,-85.819968,MI
1712,44.4631,-83.7208,MI
1713,43.8942,-86.4447,MI
1714,44.661114,-84.131691,MI
1716,43.613001,-85.479469,MI
1722,42.9528,-84.9025,MI
1751,46.4974,-84.332,MI
1753,41.9439,-86.3289,MI
1754,41.839566,-86.35105,MI
1756,46.5392,-90.3742,MI
1757,46.564601,-90.416147,MI
1760,41.8436,-85.6694,MI
1761,41.8056,-85.7505,MI
1773,46.7261,-88.6625,MI
1774,46.6964,-89.2089,MI
1775,45.9472,-88.2189,WI
1776,45.5136,-87.8011,MI
1777,46.1311,-88.225,MI
1778,45.807956,-88.125121,MI
1780,45.9553,-88.1958,MI
1781,45.990781,-88.210514,MI
1785,46.1592,-88.2353,MI
1786,45.482084,-87.802178,MI
1787,45.3547,-87.6494,MI
1821,46.106278,-88.334531,MI
1842,46.571639,-87.410455,MI
1844,42.2717,-84.9411,MI
1848,45.74123,-87.86278,MI
1852,43.4019,-84.6014,MI
1856,41.9711,-85.5381,MI
1865,46.50625,-84.349267,MI
1871,45.391984,-84.333257,MI
1892,45.8614,-94.3592,MN
1894,46.666768,-92.293897,MN
1895,46.726627,-92.448619,MN
1896,45.975013,-94.369094,MN
1898,46.316033,-94.484944,MN
1899,46.709126,-92.421733,MN
1900,46.305,-94.3775,MN
1902,47.9344,-91.7639,MN
1911,44.982359,-93.254163,MN
1977,44.811685,-95.53455,MN
1998,43.9405,-94.9434,MN
2007,44.212981,-92.480177,MN
2014,48.114262,-96.179176,MN
2022,45.121705,-95.053236,MN
2024,43.63349,-95.609234,MN
2099,37.9385,-92.847701,MO
2106,38.2044,-92.6239,MO
2108,37.520833,-90.834722,MO
2124,37.6936,-93.7691,MO
2166,36.597,-93.3086,MO
2181,47.521331,-111.261442,MT
2182,47.5375,-111.194969,MT
2185,46.765941,-111.887341,MT
2186,46.9915,-112.0047,MT
2188,47.6777,-114.2339,MT
2191,47.581737,-111.060898,MT
2192,45.225741,-109.762489,MT
2193,47.5344,-111.2045,MT
2194,47.569939,-111.122546,MT
2195,47.593155,-115.358237,MT
2199,47.96048,-115.73361,MT
2203,48.341521,-114.01443,MT
2204,45.307406,-107.957515,MT
2227,40.959405,-100.397905,NE
2228,40.6936,-99.8178,NE
2229,40.6839,-99.7447,NE
2260,41.4639,-97.3283,NE
2268,40.703511,-99.100753,NE
2273,41.4872,-97.6078,NE
2274,41.0864,-100.7594,NE
2303,41.68138,-98.36756,NE
2349,44.325053,-72.000975,NH
2351,44.3356,-71.8742,NH
2352,42.77165,-72.5146,VT
2353,43.667927,-72.303642,VT
2354,43.00223,-71.47208,NH
2355,43.597849,-71.717683,NH
2356,43.447219,-71.6579,NH
2357,43.165524,-71.509441,NH
2358,44.408278,-71.195354,NH
2359,43.101699,-71.465662,NH
2360,43.11055,-71.94889,NH
2368,44.469463,-71.178062,NH
2481,41.8217,-74.0497,NY
2483,41.8194,-74.6358,NY
2486,41.848191,-74.046678,NY
2522,44.695,-73.6219,NY
2530,44.6389,-73.7492,NY
2532,44.7053,-73.5967,NY
2540,44.660338,-74.860265,NY
2543,43.019113,-74.741349,NY
2544,43.9275,-75.3331,NY
2545,43.5317,-75.9531,NY
2546,44.000122,-75.813151,NY
2547,44.506474,-74.753442,NY
2548,44.211407,-75.059441,NY
2550,44.7533,-74.2169,NY
2551,44.5839,-74.9583,NY
2552,44.0381,-75.6806,NY
2555,43.909714,-75.200831,NY
2556,44.638365,-75.49052,NY
2557,43.922831,-75.277923,NY
2559,43.927536,-75.288322,NY
2560,43.0092,-74.5372,NY
2561,44.7989,-74.9856,NY
2562,44.527491,-74.849177,NY
2563,44.2217,-75.0742,NY
2564,44.4372,-73.9725,NY
2568,43.2358,-78.3906,NY
2569,43.323441,-76.420841,NY
2571,44.6192,-74.9733,NY
2572,44.0217,-75.6511,NY
2573,44.6172,-75.4042,NY
2574,43.4436,-76.4961,NY
2575,43.9247,-75.3731,NY
2576,44.5306,-74.9331,NY
2578,43.170948,-78.691551,NY
2579,43.061017,-74.764347,NY
2580,42.920374,-73.508886,NY
2581,44.0117,-75.7967,NY
2582,43.524103,-75.970318,NY
2583,44.877326,-74.306288,NY
2586,43.4003,-76.4739,NY
2588,43.8719,-75.1364,NY
2590,44.8053,-74.9975,NY
2591,44.7439,-75.0042,NY
2595,43.3161,-76.4153,NY
2596,43.3156,-76.4172,NY
2597,44.63,-74.8258,NY
2598,44.233419,-74.566217,NY
2599,43.291861,-75.147734,NY
2600,44.5178,-74.8228,NY
2601,44.835,-74.9803,NY
2604,44.2678,-75.1961,NY
2605,42.78498,-73.707983,NY
2606,42.8992,-73.5989,NY
2607,43.096823,-73.582107,NY
2608,43.9775,-75.8942,NY
2609,43.2797,-73.7094,NY
2610,43.9206,-75.2433,NY
2611,44.5133,-74.8831,NY
2612,43.2339,-73.7556,NY
2613,44.4553,-74.7614,NY
2614,43.2978,-73.8853,NY
2616,44.642181,-74.976473,NY
2617,43.927002,-75.321877,NY
2619,43.2758,-75.1567,NY
2621,43.4486,-76.5056,NY
2623,43.3272,-78.2394,NY
2624,44.7661,-74.9997,NY
2627,41.8592,-74.5106,NY
2630,41.537722,-74.771383,NY
2631,41.4625,-74.7578,NY
2634,41.5717,-74.7828,NY
2685,42.8056,-73.72264,NY
2686,42.80746,-73.84269,NY
2691,42.4423,-74.4479,NY
2692,43.142973,-79.021958,NY
2693,43.1427,-79.0394,NY
2694,45.0038,-74.7994,NY
2700,43.975801,-75.874669,NY
2707,34.9833,-79.8775,NC
2710,35.702527,-82.710571,NC
2714,35.206741,-80.06483,NC
2715,35.6946,-83.0503,NC
2719,35.7428,-81.8372,NC
2722,35.4346,-80.9588,NC
2726,35.7575,-81.0894,NC
2728,35.3339,-80.9867,NC
2729,35.8214,-81.1922,NC
2730,35.774234,-81.437773,NC
2735,35.334767,-82.186369,NC
2736,35.245006,-82.389371,NC
2741,35.242677,-83.072007,NC
2743,35.2531,-83.0983,NC
2745,35.2194,-83.3708,NC
2746,35.0647,-83.9258,NC
2747,35.2715,-83.6762,NC
2749,35.2139,-83.0028,NC
2750,35.233988,-83.125398,NC
2751,35.247011,-83.128111,NC
2756,36.499147,-77.811543,NC
2758,36.4789,-77.6722,NC
2773,35.42591,-82.184005,NC
2778,35.019131,-83.791438,NC
2779,35.4507,-83.805,NC
2780,35.150864,-84.177533,NC
2815,47.4945,-101.4115,ND
2854,39.603,-84.2047,OH
2980,36.2317,-95.1822,OK
2981,36.4675,-95.041389,OK
2982,36.264685,-95.103558,OK
2984,36.1508,-96.2517,OK
2985,35.34447,-94.7755,OK
2987,35.5531,-95.1708,OK
3003,35.8693,-95.2269,OK
3004,35.595,-95.0511,OK
3013,45.2439,-116.7008,OR
3014,44.971643,-116.835042,OR
3020,43.251244,-122.337924,OR
3021,43.266894,-122.409807,OR
3024,42.514575,-122.757062,OR
3025,42.224847,-121.795496,OR
3026,43.274221,-122.448978,OR
3028,42.093611,-122.0703,OR
3029,43.3558,-122.2494,OR
3032,42.730717,-122.515122,OR
3033,42.731237,-122.513974,OR
3034,42.730606,-122.41846,OR
3035,42.733073,-122.515079,OR
3036,43.2939,-122.4728,OR
3037,43.3061,-122.5014,OR
3040,43.272729,-122.447498,OR
3041,45.266702,-117.212732,OR
3045,45.268045,-122.32009,OR
3047,45.243287,-122.27995,OR
3048,44.694374,-121.231379,OR
3049,45.299991,-122.350023,OR
3050,44.605837,-121.277334,OR
3053,45.354004,-122.618954,OR
3067,44.285977,-122.041352,OR
3071,44.069636,-122.835046,OR
3074,44.7514,-122.2832,OR
3075,45.6441,-121.941009,OR
3076,44.1307,-122.2439,OR
3077,44.7224,-122.2511,OR
3078,43.9242,-122.8055,OR
3080,44.4494,-122.5494,OR
3081,43.7107,-122.4238,OR
3082,45.71644,-120.69408,OR
3083,43.9153,-122.7531,OR
